"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","wiI7pd","dSlJg","znYl0","dSlJg 2","znYl0 2"
"https://lh3.googleusercontent.com/a-/ALV-UjVO3sNC4YSUBw9euC7_yrgZINTzZLogdY1n8-hFTnU0q7uI=w45-h45-p-rp-mo-ba7-br100","sumit Saurabh","Local Guide · 313 reviews · 12,518 photos","","","a year ago","Great infrastructure, good campus , brilliant students.

Very upto date , faculties are great , exposure is brilliant.","","Like","","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjW3I1jAsx30QosrrR1dW7u_D1iDCHTf7lM5RleeCuwZBzM=w45-h45-p-rp-mo-ba4-br100","Suraj Choudhary","Local Guide · 51 reviews · 300 photos","","","9 months ago","Had an amazing experience visiting this place! The ambiance was just so good ❤️","","Like","","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjWEfVYOurfiyQaS9xYLC-OV-gr8X1Jsh63RE0noNctmVTc=w45-h45-p-rp-mo-ba4-br100","Arvind yadav","Local Guide · 69 reviews · 242 photos","","","6 years ago","U can the watch the movie , the inox theatre is available.
Rest it's commerical .opposite to ghatkopar station and metro ghatkopar station .so if travelling by metro or rail it's good option. Downside tasty street foods r available.","","Like","","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjW6psPQvnRVE2D4Xge2rri4G-Q9WTBUBvt-w391kQZBWT0=w45-h45-p-rp-mo-ba3-br100","Christina D'Silva","Local Guide · 6 reviews · 80 photos","","","a year ago","Good institute for fashion design studies. Interior, graphic, fashion, animation.etc But the fees are wayy too high","","","","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjWVfkXD8Tu_WIVyvOxgQecYTY4g8GLOW-nY-CpzbqyCuAY=w45-h45-p-rp-mo-br100","Tanvi Goel","4 reviews · 8 photos","","","a year ago","Studying designing here and its awsm staff is very polite and helpful..amazing institute better then any other institutions ✌️✨","","Like","","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjVSRMhC6gKpDSSrxiqisVeLEHjX8LRd3Itl9OSdKCM4ow=w45-h45-p-rp-mo-br100","Hanzalah Ansari","379 reviews","","","3 years ago","Nice location in andheri Amboli signal and in between Jogeshwari and andheri station","","Like","","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjVlhlFTKYw_78m-0X2cMYq3LXUcaLKitqNuDj4dZnJJY2QU=w45-h45-p-rp-mo-br100","GAURAV GHADIGAONKAR","3 reviews","","","a year ago","Poor management, Don’t even provide marksheets","","Like","","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjWYL1duoswZtp7gjxsoe9Q_AmN4_lad3tXoXuCGbyNXUw=w45-h45-p-rp-mo-ba4-br100","Chinmay Chavan","Local Guide · 25 reviews · 138 photos","","","4 years ago","ITM- IDMA Next level Design and Media Institute..","","","","Share"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
